Category,Name,Price
"Nước ngọt, nước trà",6 chai nước tăng lực Number1 330ml,52000
"Nước ngọt, nước trà",6 lon Nước ngọts Sprite 330ml,52000
"Nước ngọt, nước trà",6 lon nước Fanta việt quất 330ml,52000
"Nước ngọt, nước trà",6 lon trà Lipton vị chanh 330ml,51000
"Nước ngọt, nước trà",6 lon tăng lực Lipovitan 245ml,51000
"Nước ngọt, nước trà",6 lon Mirinda hương xá xị 330ml,50000
"Nước ngọt, nước trà",6 lon nước ngọt Fanta xá xị 330ml,49000
"Nước ngọt, nước trà",6 lon nước Fanta soda kem 330ml,49000
"Nước ngọt, nước trà",6 lon nước ngọt Fanta vị cam 330ml,49000
"Nước ngọt, nước trà",6 chai nước uống vận động 390ml,48000
"Nước ngọt, nước trà",6 chai nước tăng lực Top Up 360ml,48000
"Nước ngọt, nước trà",6 lon Chương Dương Sleek 330ml,48000
"Nước ngọt, nước trà",6 lon nước ngọt Fanta cam 250ml,46000
"Nước ngọt, nước trà",6 chai nước Aquarius Zero 390ml,46000
"Nước ngọt, nước trà",6 lon nước ngọt Sprite 250ml,46000
"Nước ngọt, nước trà",6 chai Lipton chanh mật ong 350ml,44000
"Nước ngọt, nước trà",6 chai nước ngọt có gas 7 Up 390ml,42000
"Nước ngọt, nước trà",6 chai trà xanh C2 vị chanh 360ml,42000
"Nước ngọt, nước trà",6 chai nước có gas Pepsi 390ml,42000
"Nước ngọt, nước trà",6 chai trà ô long Tea Plus 350ml,42000
"Nước ngọt, nước trà",6 chai trà xanh C2 vị táo 360ml,42000
"Nước ngọt, nước trà",6 chai nước Mountain Dew 390ml,42000
"Nước ngọt, nước trà",Combo 2 chai Fanta vị cam 1.5 lít,24000
"Nước ngọt, nước trà",Combo 2 chai Fanta soda kem 1.5L,24000
"Nước ngọt, nước trà",Combo 2 chai Fanta xá xị 1.5 lít,24000
"Nước ngọt, nước trà",6 chai nước trà đào Fuze Tea 350ml,39000
"Nước ngọt, nước trà",6 chai sá xị Chương Dương 390ml,39000
"Nước ngọt, nước trà",Trà Pokka không đường 1.5 lít,33500
"Nước ngọt, nước trà",4 hộp trà vải Cozy có đường 225ml,32000
"Nước ngọt, nước trà",4 hộp nước trà đào sả Cozy 225ml,32000
"Nước ngọt, nước trà",6 lon nước soda Chương Dương 330ml,32000
"Nước ngọt, nước trà",4 hộp trà tắc mật ong Cozy 225ml,32000
"Nước ngọt, nước trà",Nước tăng lực Monster Ultra 355ml,30000
"Nước ngọt, nước trà",Nước tăng lực Monster lon 355ml,30000
"Nước ngọt, nước trà",Trà lúa mạch ITOEN Mugicha 500ml,25000
"Nước ngọt, nước trà",Nước ngọt Coca Cola chai 2.25 lít,25000
"Nước ngọt, nước trà",Trà lài ITOEN không đường 500ml,25000
"Nước ngọt, nước trà",Trà Atisô Vfresh ít đường 1 lít,22000
